app_name,can_instrument,can_run_after_instru,can_install,can_run
exampleAPKs/twitterlite.apk,1,1,1,0
exampleAPKs/fdroid.apk,0,0,0,0
exampleAPKs/org.woheller69.spritpreise_19.apk,0,0,0,0
exampleAPKs/org.woheller69.spritpreise_19.apk,0,0,0,0
